Account Number,Gross Outstanding,Gender,Age,Salaried,Date of Disbursement,Date of Default,Date of Provision,Provision Amount
GB00020289,19080,Female,31,Salaried,19-03-2009,16-05-2019,14-08-2019,11448
GB00020361,11310,Female,51,Salaried,18-03-2000,09-03-2011,07-06-2011,6786
GB00020481,2041440,Female,40,Salaried,12-07-2009,17-11-2015,15-02-2016,1224864
GB00020610,9230,Male,47,Salaried,16-06-2009,29-12-2011,28-03-2012,5538
GB00020661,2765720,Female,50,Salaried,16-02-2007,03-12-2011,02-03-2012,1659432
GB00020678,1482620,Male,41,Salaried,18-09-2007,28-10-2010,26-01-2011,889572
GB00020794,6056080,Female,48,Non Salaried,24-06-2007,25-03-2012,23-06-2012,3633648
GB00020844,3354430,Male,33,Non Salaried,31-03-2015,16-09-2018,15-12-2018,2012658
GB00020976,6960480,Female,48,Salaried,05-07-2004,18-06-2017,16-09-2017,4176288
GB00021033,7240,Male,44,Non Salaried,05-02-2007,16-03-2008,14-06-2008,4344
GB00021217,18830,Female,30,Salaried,03-05-2019,11-03-2021,09-06-2021,11298
GB00021391,14850,Female,51,Salaried,14-07-2012,12-04-2017,11-07-2017,8910
GB00021489,15426410,Female,30,Salaried,20-05-2007,27-10-2015,25-01-2016,9255846
GB00021618,31011430,Female,40,Non Salaried,16-07-2003,14-11-2013,12-02-2014,18606858
GB00021663,38220,Female,43,Salaried,14-06-2005,06-11-2009,04-02-2010,22932
GB00021670,3169900,Male,47,Salaried,11-09-2014,06-03-2017,04-06-2017,1901940
GB00021673,13120,Female,52,Salaried,20-09-2006,04-10-2015,02-01-2016,7872
GB00021697,28732140,Male,42,Salaried,03-01-2019,14-08-2021,12-11-2021,17239284
GB00021743,46959710,Female,29,Salaried,06-06-2018,11-02-2020,11-05-2020,28175826
GB00021807,67940,Male,43,Salaried,15-01-2006,25-07-2020,23-10-2020,40764
GB00021814,53240,Female,53,Salaried,02-07-2001,21-10-2010,19-01-2011,31944
GB00021917,74760,Female,47,Salaried,02-01-2007,25-07-2008,23-10-2008,44856
GB00021980,9310,Male,49,Non Salaried,10-09-2014,05-02-2017,06-05-2017,5586
GB00022323,9327110,Male,45,Salaried,07-02-2001,24-10-2017,22-01-2018,5596266
GB00022670,2438720,Female,39,Non Salaried,14-10-2008,06-07-2010,04-10-2010,1463232
GB00022695,4686750,Male,49,Non Salaried,30-01-2018,28-12-2020,28-03-2021,2812050
GB00022762,3825420,Female,47,Salaried,02-12-2004,04-02-2015,05-05-2015,2295252
GB00022784,2461380,Male,46,Non Salaried,27-07-2003,26-11-2011,24-02-2012,1476828
GB00022800,12690,Male,25,Salaried,07-02-2010,08-12-2012,08-03-2013,7614
GB00022839,6953940,Male,45,Salaried,04-12-2000,04-08-2016,02-11-2016,4172364
GB00022926,5970,Female,47,Non Salaried,11-06-2001,24-12-2002,24-03-2003,3582
GB00023142,3004130,Female,26,Salaried,11-01-2020,23-07-2021,21-10-2021,1802478
GB00023178,45760,Male,40,Non Salaried,16-10-2009,24-02-2016,24-05-2016,27456
GB00023490,1841080,Female,43,Non Salaried,28-08-2004,10-11-2010,08-02-2011,1104648
GB00023545,14110,Male,37,Salaried,09-11-2018,29-01-2020,28-04-2020,8466
GB00023617,7796910,Male,54,Non Salaried,30-01-2008,08-10-2014,06-01-2015,4678146
GB00023651,1524760,Male,29,Non Salaried,23-07-2017,27-10-2020,25-01-2021,914856
GB00023809,6044710,Female,55,Salaried,09-02-2007,28-04-2012,27-07-2012,3626826
GB00023889,17040,Male,43,Salaried,12-10-2008,24-01-2010,24-04-2010,10224
GB00024185,7422210,Male,48,Salaried,24-01-2014,30-04-2017,29-07-2017,4453326
GB00024209,77440,Female,39,Salaried,21-11-2008,13-04-2016,12-07-2016,46464
GB00024336,87830,Female,43,Non Salaried,31-12-2010,05-03-2012,03-06-2012,52698
GB00024350,15550950,Male,55,Salaried,08-11-2009,20-12-2012,20-03-2013,9330570
GB00024426,25700,Female,30,Non Salaried,23-01-2009,03-08-2016,01-11-2016,15420
GB00024480,8368050,Female,51,Salaried,24-06-2014,15-10-2016,13-01-2017,5020830
GB00024607,38230,Male,35,Salaried,13-09-2019,26-05-2021,24-08-2021,22938
GB00024628,80810,Female,35,Salaried,07-04-2012,12-08-2017,10-11-2017,48486
GB00024651,20920,Female,42,Salaried,19-05-2014,16-04-2016,15-07-2016,12552
GB00024726,17550,Male,40,Salaried,02-12-2007,22-06-2019,20-09-2019,10530
GB00024793,57450,Female,53,Salaried,10-06-2013,06-10-2016,04-01-2017,34470
GB00024831,2448890,Male,49,Salaried,24-12-2002,24-06-2016,22-09-2016,1469334
GB00024924,24930,Male,43,Non Salaried,05-12-2006,18-09-2009,17-12-2009,14958
GB00024998,84740,Female,41,Salaried,19-10-2008,06-07-2012,04-10-2012,50844
GB00025062,304180,Male,43,Non Salaried,21-03-2011,27-12-2012,27-03-2013,182508
GB00025198,29260,Male,38,Non Salaried,13-06-2011,28-07-2015,26-10-2015,17556
GB00025213,2080,Male,25,Salaried,24-03-2020,30-07-2021,28-10-2021,1248
GB00025238,14220,Male,41,Salaried,07-07-2006,26-06-2015,24-09-2015,8532
GB00025437,23200,Female,47,Non Salaried,05-01-2016,01-01-2018,01-04-2018,13920
GB00025452,1160,Male,39,Salaried,09-10-2010,21-10-2018,19-01-2019,696
GB00025588,14160,Female,46,Non Salaried,23-07-2002,25-02-2013,26-05-2013,8496
GB00025593,4372830,Male,46,Salaried,15-08-2002,28-04-2007,27-07-2007,2623698
GB00025750,56720,Female,38,Salaried,27-01-2009,20-07-2012,18-10-2012,34032
GB00026009,96750,Male,31,Salaried,15-01-2019,31-05-2021,29-08-2021,58050
GB00026017,37810,Male,41,Salaried,26-08-2008,17-07-2014,15-10-2014,22686
GB00026186,3803330,Female,47,Non Salaried,28-11-2019,17-04-2021,16-07-2021,2281998
GB00026334,40380,Female,32,Non Salaried,21-03-2015,05-02-2020,05-05-2020,24228
GB00026343,9248880,Male,33,Non Salaried,29-02-2016,22-07-2020,20-10-2020,5549328
GB00026376,2953990,Male,42,Non Salaried,01-12-2007,24-01-2017,24-04-2017,1772394
GB00026556,4791990,Female,45,Salaried,20-08-2004,01-08-2013,30-10-2013,2875194
GB00026588,34300,Male,50,Salaried,08-08-2006,10-08-2016,08-11-2016,20580
GB00026591,71310,Female,45,Non Salaried,09-05-2003,10-12-2011,09-03-2012,42786
GB00026959,79280,Male,49,Non Salaried,28-11-2014,09-10-2018,07-01-2019,47568
GB00027066,25010,Male,41,Non Salaried,05-10-2006,07-03-2019,05-06-2019,15006
GB00027147,13500,Male,36,Salaried,12-02-2017,02-07-2020,30-09-2020,8100
GB00027455,6149510,Male,37,Salaried,05-09-2010,04-11-2018,02-02-2019,3689706
GB00027461,28750,Female,35,Non Salaried,29-07-2013,11-06-2015,09-09-2015,17250
GB00027523,4279850,Male,47,Salaried,17-04-2010,03-07-2018,01-10-2018,2567910
GB00027536,93130,Female,46,Salaried,06-08-2004,10-01-2017,10-04-2017,55878
GB00027748,8928960,Female,43,Salaried,18-03-2011,07-04-2019,06-07-2019,5357376
GB00027855,1890610,Female,54,Salaried,23-11-2010,07-12-2012,07-03-2013,1134366
GB00028059,55300,Male,46,Non Salaried,16-06-2002,05-06-2014,03-09-2014,33180
GB00028102,12940,Male,39,Non Salaried,18-04-2013,21-01-2017,21-04-2017,7764
GB00028389,92160,Female,48,Non Salaried,26-07-2008,05-10-2015,03-01-2016,55296
GB00028523,16300,Male,29,Salaried,09-01-2019,19-07-2021,17-10-2021,9780
GB00028537,4308030,Male,48,Salaried,19-10-2006,12-04-2014,11-07-2014,2584818
GB00028552,850,Female,29,Non Salaried,15-07-2017,10-01-2019,10-04-2019,510
GB00028592,89960,Female,51,Non Salaried,15-10-2010,25-04-2021,24-07-2021,53976
GB00028659,26386530,Female,53,Salaried,04-06-2006,19-10-2015,17-01-2016,15831918
GB00028734,31090,Female,40,Non Salaried,20-06-2011,18-02-2014,19-05-2014,18654
GB00028738,154810,Female,58,Salaried,15-03-2005,20-03-2017,18-06-2017,92886
GB00028744,49720,Female,52,Salaried,19-02-2016,25-09-2018,24-12-2018,29832
GB00028770,1080,Female,53,Salaried,14-01-2017,25-09-2020,24-12-2020,648
GB00028804,14530,Male,50,Salaried,15-11-2005,10-10-2013,08-01-2014,8718
GB00028866,11490,Female,39,Salaried,12-02-2013,29-11-2018,27-02-2019,6894
GB00028872,4087560,Female,36,Salaried,25-07-2019,09-09-2021,08-12-2021,2452536
GB00028938,25050,Female,46,Salaried,03-04-2001,01-11-2013,30-01-2014,15030
GB00029013,45830,Male,52,Non Salaried,07-03-2005,08-12-2008,08-03-2009,27498
GB00029067,16370,Male,48,Non Salaried,14-04-2001,11-12-2009,11-03-2010,9822
GB00029124,19510,Male,41,Non Salaried,28-02-2007,05-11-2012,03-02-2013,11706
GB00029194,89530,Female,43,Non Salaried,30-06-2005,04-12-2011,03-03-2012,53718
GB00029344,9388540,Male,48,Salaried,13-01-2002,22-12-2006,22-03-2007,5633124
GB00029411,3910020,Female,39,Non Salaried,26-11-2010,13-12-2014,13-03-2015,2346012
GB00029719,34720790,Female,50,Non Salaried,26-11-2015,28-02-2018,29-05-2018,20832474
GB00029922,26910,Female,48,Salaried,12-11-2001,04-03-2014,02-06-2014,16146
GB00029943,61410,Male,47,Non Salaried,21-09-2013,16-03-2017,14-06-2017,36846
GB00029994,10220,Female,46,Non Salaried,10-06-2016,29-11-2017,27-02-2018,6132
GB00030287,25370,Female,41,Salaried,22-11-2014,16-12-2020,16-03-2021,15222
GB00030325,14090,Female,47,Salaried,22-09-2002,15-07-2006,13-10-2006,8454
GB00030761,2376470,Female,29,Salaried,14-11-2018,14-05-2021,12-08-2021,1425882
GB00030844,11510,Male,48,Non Salaried,17-08-2018,13-12-2020,13-03-2021,6906
GB00030991,20910,Female,26,Non Salaried,05-05-2014,22-07-2020,20-10-2020,12546
GB00031140,46330,Female,46,Salaried,06-12-2002,10-03-2019,08-06-2019,27798
GB00031419,4780,Male,52,Non Salaried,30-12-2018,21-09-2021,20-12-2021,2868
GB00031533,84490,Female,30,Salaried,25-04-2017,01-06-2021,30-08-2021,50694
GB00031648,33120,Male,54,Non Salaried,16-10-2007,07-08-2020,05-11-2020,19872
GB00032017,82790,Male,47,Non Salaried,03-08-2013,30-09-2015,29-12-2015,49674
GB00032060,8471580,Female,46,Salaried,04-11-2004,16-10-2016,14-01-2017,5082948
GB00032430,2527820,Female,45,Non Salaried,27-12-2010,24-07-2012,22-10-2012,1516692
GB00032532,27308340,Female,49,Salaried,31-03-2003,06-11-2014,04-02-2015,16385004
GB00032573,5020720,Female,32,Non Salaried,27-01-2012,24-12-2019,23-03-2020,3012432
GB00032591,6117670,Male,37,Salaried,01-07-2014,18-03-2019,16-06-2019,3670602
GB00032847,1906890,Female,45,Non Salaried,22-11-2012,31-01-2020,30-04-2020,1144134
GB00032874,16450,Female,41,Non Salaried,20-02-2008,02-09-2016,01-12-2016,9870
GB00032919,24180,Female,30,Non Salaried,19-03-2020,14-02-2021,15-05-2021,14508
GB00032961,10010,Female,44,Salaried,26-10-2015,30-09-2020,29-12-2020,6006
GB00033005,18280,Male,50,Salaried,11-05-2001,15-10-2004,13-01-2005,10968
GB00033040,16020,Male,48,Non Salaried,04-05-2002,09-07-2007,07-10-2007,9612
GB00033150,13020,Male,38,Salaried,26-04-2014,22-06-2018,20-09-2018,7812
GB00033276,59270,Male,44,Salaried,09-05-2005,07-10-2020,05-01-2021,35562
GB00033307,899900,Female,42,Salaried,14-03-2007,18-05-2009,16-08-2009,539940
GB00033597,188730,Male,41,Salaried,01-07-2009,10-02-2013,11-05-2013,113238
GB00033730,413650,Male,49,Salaried,13-04-2004,22-10-2016,20-01-2017,248190
GB00033913,8656910,Male,54,Salaried,14-10-2007,02-02-2009,03-05-2009,5194146
GB00034150,24030,Male,50,Salaried,07-07-2003,12-09-2013,11-12-2013,14418
GB00034227,1280,Male,50,Non Salaried,06-12-2010,31-05-2014,29-08-2014,768
GB00034288,5482470,Male,57,Non Salaried,26-10-2004,29-04-2017,28-07-2017,3289482
GB00034565,30890,Male,29,Salaried,14-09-2018,16-10-2020,14-01-2021,18534
GB00034717,97380,Male,54,Salaried,06-01-2002,11-11-2014,09-02-2015,58428
GB00034874,13770300,Male,43,Non Salaried,25-06-2004,10-01-2007,10-04-2007,8262180
GB00035000,3239510,Female,54,Non Salaried,18-04-2016,15-02-2019,16-05-2019,1943706
GB00035056,23032370,Male,47,Salaried,30-01-2003,02-02-2019,03-05-2019,13819422
GB00035061,3109370,Female,51,Salaried,04-05-2010,27-06-2019,25-09-2019,1865622
GB00035099,1778210,Male,49,Non Salaried,07-09-2005,17-07-2013,15-10-2013,1066926
GB00035173,88520,Male,45,Non Salaried,22-08-2008,13-01-2021,13-04-2021,53112
GB00035352,11050,Female,50,Non Salaried,11-09-2017,17-04-2020,16-07-2020,6630
GB00035519,749380,Female,46,Salaried,18-04-2004,07-08-2018,05-11-2018,449628
GB00035534,45820,Male,52,Salaried,31-08-2007,26-05-2021,24-08-2021,27492
GB00035594,49830,Female,54,Non Salaried,28-03-2009,18-06-2018,16-09-2018,29898
GB00035598,20010,Male,44,Salaried,04-12-2017,02-12-2020,02-03-2021,12006
GB00035670,748230,Male,45,Non Salaried,30-12-2018,20-07-2021,18-10-2021,448938
GB00035681,15770,Female,48,Salaried,07-10-2017,07-06-2021,05-09-2021,9462
GB00035722,72310,Female,26,Salaried,01-03-2007,30-04-2019,29-07-2019,43386
GB00035891,30260,Male,48,Non Salaried,14-05-2008,11-10-2010,09-01-2011,18156
GB00035984,86300,Male,46,Salaried,13-04-2010,09-04-2015,08-07-2015,51780
GB00036052,2880170,Male,48,Salaried,25-01-2018,15-08-2019,13-11-2019,1728102
GB00036129,1149330,Female,45,Salaried,16-01-2013,13-08-2020,11-11-2020,689598
GB00036404,15380,Female,27,Salaried,31-12-2019,04-06-2021,02-09-2021,9228
GB00036548,49320,Male,54,Non Salaried,03-06-2009,25-10-2016,23-01-2017,29592
GB00036675,77800,Female,55,Salaried,26-02-2004,18-05-2012,16-08-2012,46680
GB00036796,8300,Female,35,Non Salaried,09-10-2016,21-12-2020,21-03-2021,4980
GB00037072,90330,Female,37,Non Salaried,17-05-2018,23-05-2020,21-08-2020,54198
GB00037147,4220,Male,37,Salaried,10-10-2013,06-07-2016,04-10-2016,2532
GB00037222,5243230,Female,36,Salaried,27-05-2020,27-02-2018,28-05-2018,3145938
GB00037294,90860,Female,34,Salaried,10-02-2018,11-06-2021,09-09-2021,54516
GB00037607,6556530,Female,52,Non Salaried,18-05-2009,10-03-2014,08-06-2014,3933918
GB00038582,99610,Male,41,Non Salaried,22-11-2009,03-01-2012,02-04-2012,59766
GB00038663,12450,Female,40,Salaried,04-03-2006,29-06-2011,27-09-2011,7470
GB00038851,81110,Female,38,Salaried,31-05-2010,11-02-2017,12-05-2017,48666
GB00038949,68440,Female,43,Salaried,18-04-2018,06-05-2020,04-08-2020,41064
GB00038981,85210,Male,37,Non Salaried,06-04-2011,10-10-2012,08-01-2013,51126
GB00039307,83680,Male,39,Salaried,12-11-2012,19-09-2014,18-12-2014,50208
GB00039503,41430,Male,49,Salaried,19-03-2005,25-04-2019,24-07-2019,24858
GB00039591,93500,Male,47,Non Salaried,30-01-2007,04-11-2007,02-02-2008,56100
GB00039818,42790,Male,51,Non Salaried,01-12-2000,17-02-2010,18-05-2010,25674
GB00039866,4379120,Female,49,Non Salaried,24-06-2003,20-05-2017,18-08-2017,2627472
GB00039879,60730,Female,28,Non Salaried,14-03-2019,29-01-2020,28-04-2020,36438
GB00039990,35010,Male,48,Non Salaried,14-08-2013,26-07-2014,24-10-2014,21006
GB00040055,38220,Female,37,Salaried,14-11-2009,04-02-2017,05-05-2017,22932
GB00040148,54560,Male,39,Non Salaried,02-05-2015,17-05-2017,15-08-2017,32736
GB00040159,33491520,Male,54,Salaried,17-06-2005,14-10-2007,12-01-2008,20094912
GB00040420,79350,Female,28,Non Salaried,19-07-2019,08-10-2020,06-01-2021,47610
GB00040466,7980180,Male,39,Salaried,15-12-2008,17-02-2016,17-05-2016,4788108
GB00040641,78300,Female,48,Non Salaried,13-07-2005,22-06-2013,20-09-2013,46980
GB00040718,46830,Male,50,Salaried,10-12-2008,27-06-2013,25-09-2013,28098
GB00040776,19610,Female,47,Non Salaried,25-10-2003,29-04-2011,28-07-2011,11766
GB00040794,2694730,Female,45,Non Salaried,06-10-2004,14-10-2005,12-01-2006,1616838
GB00040860,7409860,Male,49,Non Salaried,06-11-2002,03-07-2005,01-10-2005,4445916
GB00040890,6941770,Male,42,Non Salaried,27-01-2008,06-08-2010,04-11-2010,4165062
GB00041079,305160,Female,47,Salaried,16-12-2017,20-08-2020,18-11-2020,183096
GB00041154,4886280,Female,36,Non Salaried,25-04-2015,28-06-2019,26-09-2019,2931768
GB00041245,96880,Male,35,Non Salaried,08-03-2014,20-03-2016,18-06-2016,58128
GB00041349,282250,Male,54,Salaried,07-05-2017,17-01-2020,16-04-2020,169350
GB00041687,15700,Male,50,Salaried,03-11-2011,29-06-2017,27-09-2017,9420
GB00041745,3851140,Female,49,Non Salaried,05-01-2004,20-06-2014,18-09-2014,2310684
GB00041870,16560,Male,41,Non Salaried,23-10-2017,30-12-2018,30-03-2019,9936
GB00041921,1695060,Female,47,Non Salaried,09-02-2005,17-03-2019,15-06-2019,1017036
GB00042026,36540,Female,29,Non Salaried,21-01-2019,20-03-2021,18-06-2021,21924
GB00042167,11930,Male,52,Salaried,25-08-2015,11-01-2016,10-04-2016,7158
GB00042174,3410250,Female,53,Salaried,23-10-2013,16-04-2017,15-07-2017,2046150
GB00042427,31900,Male,37,Salaried,11-03-2017,25-01-2019,25-04-2019,19140
GB00042529,58090,Male,36,Non Salaried,10-01-2015,26-12-2019,25-03-2020,34854
GB00042604,49560,Female,44,Non Salaried,11-02-2005,15-12-2011,14-03-2012,29736
GB00042716,880,Female,57,Non Salaried,11-02-2010,15-06-2021,13-09-2021,528
GB00042794,92010,Male,38,Salaried,13-06-2012,25-06-2017,23-09-2017,55206
GB00042886,45220,Male,51,Salaried,15-04-2005,08-01-2019,08-04-2019,27132
GB00042983,97990,Female,41,Non Salaried,28-11-2013,04-07-2017,02-10-2017,58794
GB00043682,3964580,Female,54,Non Salaried,07-01-2017,17-01-2018,17-04-2018,2378748
GB00043713,38530,Male,46,Non Salaried,20-06-2012,17-03-2021,15-06-2021,23118
GB00043774,8163210,Male,41,Non Salaried,15-02-2015,02-12-2015,01-03-2016,4897926
GB00043896,9641950,Female,45,Non Salaried,26-03-2019,24-10-2020,22-01-2021,5785170
GB00043931,3560,Female,52,Non Salaried,13-02-2004,28-10-2005,26-01-2006,2136
GB00043958,39440,Female,48,Non Salaried,21-01-2002,09-01-2004,08-04-2004,23664
GB00043972,51960,Female,43,Salaried,01-02-2007,30-05-2010,28-08-2010,31176
GB00043979,1098960,Male,39,Non Salaried,05-11-2009,17-11-2014,15-02-2015,659376
GB00044110,13380,Female,45,Non Salaried,25-04-2008,30-12-2015,29-03-2016,8028
GB00044211,9150,Male,44,Salaried,10-04-2005,01-10-2012,30-12-2012,5490
GB00044216,18360,Male,38,Salaried,04-05-2008,23-06-2011,21-09-2011,11016
GB00044595,2729510,Female,35,Non Salaried,03-12-2014,01-08-2016,30-10-2016,1637706
GB00044895,5935310,Female,42,Non Salaried,17-11-2001,13-09-2020,12-12-2020,3561186
GB00045069,926430,Male,42,Non Salaried,05-10-2007,19-04-2009,18-07-2009,555858
GB00045120,7939420,Female,38,Salaried,17-02-2012,19-09-2013,18-12-2013,4763652
GB00045123,25540,Female,32,Salaried,25-06-2008,09-02-2021,10-05-2021,15324
GB00045206,4884020,Female,45,Salaried,09-10-2002,11-01-2011,11-04-2011,2930412
GB00045265,4283170,Male,46,Salaried,07-09-2020,21-04-2006,20-07-2006,2569902
GB00045311,64830,Female,45,Salaried,31-12-2014,26-03-2020,24-06-2020,38898
